name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age,price_per_km,brand
Hyundai Getz GLS,2005.0,80000.0,120000.0,Petrol,Individual,Manual,Third Owner,21.0,0.6666666666666666,Hyundai
Unknown,2014.0,650000.0,76000.0,Petrol,Individual,Manual,Second Owner,12.0,8.552631578947368,Unknown
Hyundai Grand i10 CRDi Sportz,2015.0,450000.0,80000.0,Diesel,Individual,Manual,First Owner,11.0,5.625,Hyundai
Hyundai Elite i20 Diesel Era,2019.0,650000.0,25000.0,Diesel,Individual,Manual,First Owner,7.0,26.0,Hyundai
Honda Amaze S i-VTEC,2016.0,495000.0,11958.0,Petrol,Dealer,Manual,First Owner,10.0,41.39488208730557,Honda
Honda Brio S MT,2015.0,371000.0,20000.0,Petrol,Dealer,Manual,First Owner,11.0,18.55,Honda
Hyundai Creta 1.6 SX Option,2017.0,1025000.0,9000.0,Petrol,Dealer,Manual,First Owner,9.0,113.88888888888889,Hyundai
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017.0,8150000.0,6500.0,Diesel,Dealer,Automatic,First Owner,9.0,1253.8461538461538,Mercedes-Benz
Mahindra XUV500 W8 2WD,2015.0,750000.0,70000.0,Diesel,Individual,Manual,First Owner,11.0,10.714285714285714,Mahindra
Renault Duster 85PS Diesel RxL Optional,2013.0,600000.0,120000.0,Diesel,Individual,Manual,First Owner,13.0,5.0,Renault
Hyundai Santro Xing XO,2007.0,80000.0,58000.0,Petrol,Dealer,Manual,Second Owner,19.0,1.3793103448275863,Hyundai
Mahindra Bolero 2011-2019 SLE,2013.0,325000.0,62200.0,Diesel,Dealer,Manual,First Owner,13.0,5.22508038585209,Mahindra
Audi A6 2.0 TDI Premium Plus,2014.0,1470000.0,34000.0,Diesel,Dealer,Automatic,Second Owner,12.0,43.23529411764706,Audi
Fiat Avventura MULTIJET Emotion,2015.0,350000.0,53000.0,Diesel,Individual,Manual,Second Owner,11.0,6.60377358490566,Fiat
Audi A8 4.2 TDI,2013.0,2800000.0,49000.0,Diesel,Individual,Automatic,First Owner,13.0,57.142857142857146,Audi
Datsun RediGO 1.0 S,2017.0,210000.0,15000.0,Petrol,Dealer,Manual,Second Owner,9.0,14.0,Datsun
Unknown,2013.0,450000.0,50000.0,Petrol,Individual,Manual,First Owner,13.0,9.0,Unknown
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013.0,1150000.0,53000.0,Diesel,Dealer,Manual,First Owner,13.0,21.69811320754717,Audi
Unknown,2009.0,210000.0,63500.0,Petrol,Dealer,Automatic,First Owner,17.0,3.3070866141732282,Unknown
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018.0,4500000.0,60000.0,Petrol,Dealer,Automatic,First Owner,8.0,75.0,Mercedes-Benz
BMW X1 sDrive 20d xLine,2017.0,2750000.0,60000.0,Diesel,Individual,Automatic,First Owner,9.0,45.833333333333336,BMW
Volvo V40 D3 R Design,2018.0,1975000.0,21000.0,Petrol,Dealer,Automatic,First Owner,8.0,94.04761904761905,Volvo
Maruti SX4 Zxi BSIII,2008.0,175000.0,29173.0,Petrol,Dealer,Manual,First Owner,18.0,5.998697425701848,Maruti
BMW 7 Series 730Ld,2012.0,2500000.0,60000.0,Diesel,Dealer,Automatic,First Owner,14.0,41.666666666666664,BMW
Mahindra Bolero Power Plus SLX,2017.0,628000.0,120000.0,Diesel,Individual,Manual,First Owner,9.0,5.233333333333333,Mahindra
Hyundai Sonata CRDi M/T,2010.0,600000.0,100000.0,Petrol,Individual,Manual,First Owner,16.0,6.0,Hyundai
Nissan Micra Active XV Petrol,2017.0,399000.0,30000.0,Petrol,Individual,Manual,First Owner,9.0,13.3,Nissan
Mahindra Xylo D4,2018.0,750000.0,87000.0,Diesel,Individual,Manual,First Owner,8.0,8.620689655172415,Mahindra
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019.0,750000.0,15000.0,Petrol,Individual,Manual,First Owner,7.0,50.0,Hyundai
Renault KWID RXT,2017.0,350000.0,16000.0,Petrol,Individual,Manual,First Owner,9.0,21.875,Renault
Mahindra Xylo E4 BS III,2012.0,600000.0,60000.0,Diesel,Individual,Manual,First Owner,14.0,10.0,Mahindra
Maruti Wagon R LXI Minor,2010.0,100000.0,60000.0,Petrol,Individual,Manual,Fourth & Above Owner,16.0,1.6666666666666667,Maruti
Maruti SX4 ZXI MT BSIV,2011.0,250000.0,110000.0,Petrol,Individual,Manual,Third Owner,15.0,2.272727272727273,Maruti
Renault KWID RXT,2014.0,350000.0,25000.0,Petrol,Individual,Manual,First Owner,12.0,14.0,Renault
Hyundai Creta 1.4 CRDi S,2016.0,780000.0,60000.0,Diesel,Individual,Manual,First Owner,10.0,13.0,Hyundai
Maruti Swift Dzire VDI,2014.0,434000.0,60000.0,Diesel,Individual,Manual,Second Owner,12.0,7.233333333333333,Maruti
Hyundai Verna 1.6 VTVT AT S Option,2016.0,690000.0,80000.0,Petrol,Individual,Automatic,First Owner,10.0,8.625,Hyundai
Mahindra Scorpio LX BSIV,2014.0,555000.0,60000.0,Diesel,Individual,Manual,Second Owner,12.0,9.25,Mahindra
Maruti SX4 Vxi BSIII,2007.0,120000.0,90000.0,Petrol,Individual,Manual,Second Owner,19.0,1.3333333333333333,Maruti
Maruti Ertiga VDI,2014.0,500000.0,120000.0,Diesel,Individual,Manual,Second Owner,12.0,4.166666666666667,Maruti
Chevrolet Beat Diesel,2013.0,165000.0,60000.0,Diesel,Individual,Manual,First Owner,13.0,2.75,Chevrolet
Maruti Zen LX,2004.0,95000.0,50000.0,Petrol,Individual,Manual,First Owner,22.0,1.9,Maruti
Maruti Baleno Delta 1.2,2018.0,550000.0,20000.0,Petrol,Individual,Manual,First Owner,8.0,27.5,Maruti
Maruti Swift Vdi BSIII,2007.0,100000.0,110000.0,Diesel,Individual,Manual,Fourth & Above Owner,19.0,0.9090909090909091,Maruti
Tata Nano Lx BSIV,2012.0,100000.0,50000.0,Petrol,Individual,Manual,Second Owner,14.0,2.0,Tata
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012.0,500000.0,100000.0,Diesel,Individual,Manual,First Owner,14.0,5.0,Toyota
Unknown,2016.0,350000.0,70000.0,Diesel,Individual,Manual,Second Owner,10.0,5.0,Unknown
Hyundai Creta 1.6 CRDi SX,2016.0,840000.0,70000.0,Diesel,Individual,Manual,Second Owner,10.0,12.0,Hyundai
Honda Amaze S i-Vtech,2016.0,490000.0,50000.0,Petrol,Individual,Manual,First Owner,10.0,9.8,Honda
Tata Indica Vista Aqua 1.4 TDI,2010.0,125000.0,60000.0,Petrol,Individual,Manual,Second Owner,16.0,2.0833333333333335,Tata
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012.0,400000.0,60000.0,Diesel,Individual,Manual,Third Owner,14.0,6.666666666666667,Chevrolet
Chevrolet Cruze LTZ,2015.0,1000000.0,3600.0,Petrol,Dealer,Manual,First Owner,11.0,277.77777777777777,Chevrolet
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015.0,530000.0,14272.0,Petrol,Dealer,Manual,First Owner,11.0,37.13565022421525,Ford
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017.0,840000.0,60000.0,Diesel,Dealer,Manual,First Owner,9.0,14.0,Ford
Hyundai i10 Sportz 1.1L,2015.0,229999.0,40000.0,Petrol,Individual,Manual,First Owner,11.0,5.749975,Hyundai
Maruti 800 Std,1998.0,40000.0,40000.0,Petrol,Individual,Manual,Fourth & Above Owner,28.0,1.0,Maruti
Chevrolet Spark 1.0 LS,2012.0,130000.0,80000.0,Petrol,Individual,Manual,First Owner,14.0,1.625,Chevrolet
Hyundai EON Era Plus,2015.0,200000.0,70000.0,Petrol,Individual,Manual,First Owner,11.0,2.857142857142857,Hyundai
Tata Indica Vista Aqua TDI BSIII,2011.0,120000.0,70000.0,Diesel,Individual,Manual,First Owner,15.0,1.7142857142857142,Tata
Hyundai Santro LP zipPlus,2003.0,75000.0,57000.0,Petrol,Individual,Manual,First Owner,23.0,1.3157894736842106,Hyundai
Tata Bolt Quadrajet XE,2016.0,250000.0,120000.0,Diesel,Individual,Manual,First Owner,10.0,2.0833333333333335,Tata
Maruti 800 AC BSIII,2005.0,100000.0,30000.0,Petrol,Individual,Manual,First Owner,21.0,3.3333333333333335,Maruti
Hyundai EON Era Plus,2013.0,280000.0,3240.0,Petrol,Individual,Manual,Second Owner,13.0,86.41975308641975,Hyundai
Unknown,2015.0,540000.0,60000.0,Petrol,Individual,Manual,First Owner,11.0,9.0,Unknown
Hyundai i20 1.2 Asta,2014.0,700000.0,10000.0,Petrol,Individual,Manual,First Owner,12.0,70.0,Hyundai
Maruti Ciaz VDi Plus,2015.0,525000.0,100000.0,Diesel,Individual,Manual,First Owner,11.0,5.25,Maruti
Unknown,2016.0,430000.0,80000.0,Diesel,Individual,Manual,First Owner,10.0,5.375,Unknown
Hyundai Santro LE,2002.0,65000.0,70000.0,Petrol,Individual,Manual,First Owner,24.0,0.9285714285714286,Hyundai
Maruti Vitara Brezza VDi,2018.0,800000.0,35000.0,Diesel,Individual,Manual,First Owner,8.0,22.857142857142858,Maruti
Hyundai Santro Xing XL eRLX Euro III,2007.0,75000.0,114000.0,Petrol,Individual,Manual,Second Owner,19.0,0.6578947368421053,Hyundai
Hyundai Getz 1.3 GLS,2008.0,210000.0,53772.0,Petrol,Individual,Manual,First Owner,18.0,3.905378263780406,Hyundai
Mahindra Quanto C8,2012.0,195000.0,140000.0,Diesel,Individual,Manual,Second Owner,14.0,1.3928571428571428,Mahindra
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015.0,400000.0,120000.0,Diesel,Individual,Manual,First Owner,11.0,3.3333333333333335,Chevrolet
Hyundai EON Magna Plus,2012.0,350000.0,60000.0,Petrol,Individual,Manual,First Owner,14.0,5.833333333333333,Hyundai
Renault KWID RXT,2016.0,225000.0,25000.0,Petrol,Individual,Manual,First Owner,10.0,9.0,Renault
Maruti Wagon R DUO LPG,2014.0,210000.0,90000.0,LPG,Individual,Manual,First Owner,12.0,2.3333333333333335,Maruti
Maruti Wagon R LXI,2020.0,240000.0,120000.0,Petrol,Individual,Manual,First Owner,6.0,2.0,Maruti
Chevrolet Enjoy 1.3 TCDi LS 8,2015.0,350000.0,175000.0,Diesel,Individual,Manual,First Owner,11.0,2.0,Chevrolet
Chevrolet Spark 1.0 LS,2011.0,99000.0,100000.0,Petrol,Individual,Manual,Third Owner,15.0,0.99,Chevrolet
Honda City i VTEC SV,2014.0,620000.0,60000.0,Petrol,Individual,Manual,First Owner,12.0,10.333333333333334,Honda
Honda Amaze VX i-DTEC,2013.0,500000.0,30000.0,Diesel,Individual,Manual,First Owner,13.0,16.666666666666668,Honda
Jaguar XJ 5.0 L V8 Supercharged,2014.0,2550000.0,40000.0,Petrol,Individual,Automatic,Second Owner,12.0,63.75,Jaguar
Honda Brio E MT,2013.0,350000.0,70000.0,Petrol,Individual,Manual,Second Owner,13.0,5.0,Honda
Maruti Swift VVT ZXI,2017.0,550000.0,60000.0,Petrol,Individual,Manual,First Owner,9.0,9.166666666666666,Maruti
Tata Indigo CR4,2011.0,150000.0,155500.0,Diesel,Individual,Manual,First Owner,15.0,0.9646302250803859,Tata
Hyundai i10 Asta AT,2014.0,350000.0,50000.0,Petrol,Individual,Automatic,Second Owner,12.0,7.0,Hyundai
Unknown,2016.0,320000.0,40000.0,Petrol,Individual,Manual,First Owner,10.0,8.0,Unknown
Maruti Swift VDI BSIV,2015.0,350000.0,100000.0,Diesel,Individual,Manual,Third Owner,11.0,3.5,Maruti
Maruti Alto LXi,2012.0,175000.0,80000.0,Petrol,Individual,Manual,Third Owner,14.0,2.1875,Maruti
Unknown,2011.0,120000.0,90000.0,Petrol,Individual,Manual,Second Owner,15.0,1.3333333333333333,Unknown
Renault Duster 110PS Diesel RxZ,2013.0,350000.0,90000.0,Diesel,Individual,Manual,Second Owner,13.0,3.888888888888889,Renault
Hyundai Santro Xing XG,2006.0,70000.0,110000.0,Petrol,Individual,Manual,Third Owner,20.0,0.6363636363636364,Hyundai
Maruti Swift Dzire ZXI Plus,2019.0,810000.0,15000.0,Petrol,Individual,Manual,First Owner,7.0,54.0,Maruti
Maruti 800 AC,2007.0,95000.0,100000.0,Petrol,Individual,Manual,Second Owner,19.0,0.95,Maruti
Maruti Alto K10 LXI CNG,2020.0,282000.0,40000.0,CNG,Individual,Manual,First Owner,6.0,7.05,Maruti
Maruti 800 Std BSII,2004.0,350000.0,60000.0,Petrol,Individual,Manual,Second Owner,22.0,5.833333333333333,Maruti
Tata Nano LX SE,2013.0,72000.0,25000.0,Petrol,Individual,Manual,First Owner,13.0,2.88,Tata
Hyundai i20 Magna 1.2,2014.0,600000.0,25000.0,Petrol,Individual,Manual,First Owner,12.0,24.0,Hyundai
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015.0,640000.0,60000.0,Petrol,Individual,Manual,First Owner,11.0,10.666666666666666,Skoda
Maruti Alto K10 VXI,2018.0,380000.0,22155.0,Petrol,Individual,Manual,First Owner,8.0,17.15188445046265,Maruti
Maruti Ciaz 1.4 Delta,2018.0,650000.0,70000.0,Petrol,Individual,Manual,First Owner,8.0,9.285714285714286,Maruti
Maruti Alto LX,2009.0,150000.0,60000.0,Petrol,Individual,Manual,Second Owner,17.0,2.5,Maruti
Hyundai i20 Asta,2009.0,350000.0,110000.0,Petrol,Individual,Manual,Second Owner,17.0,3.1818181818181817,Hyundai
Tata Nexon 1.2 Revotron XM,2018.0,430000.0,30000.0,Petrol,Individual,Manual,First Owner,8.0,14.333333333333334,Tata
Mahindra Bolero Power Plus SLX,2019.0,800000.0,15000.0,Diesel,Individual,Manual,First Owner,7.0,53.333333333333336,Mahindra
Maruti Zen D,2003.0,75000.0,100000.0,Diesel,Individual,Manual,First Owner,23.0,0.75,Maruti
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016.0,650000.0,70000.0,Diesel,Individual,Automatic,First Owner,10.0,9.285714285714286,Volkswagen
Maruti Eeco 7 Seater Standard BSIV,2017.0,390000.0,24000.0,Petrol,Individual,Manual,First Owner,9.0,16.25,Maruti
Honda City 1.5 EXI,2005.0,100000.0,120000.0,Petrol,Individual,Manual,Second Owner,21.0,0.8333333333333334,Honda
Mercedes-Benz New C-Class 220 CDI AT,2013.0,1500000.0,35000.0,Diesel,Individual,Automatic,First Owner,13.0,42.857142857142854,Mercedes-Benz
Maruti SX4 Zxi with Leather BSIII,2007.0,175000.0,78380.0,Petrol,Individual,Manual,First Owner,19.0,2.232712426639449,Maruti
Renault Duster 110PS Diesel RxZ,2012.0,350000.0,110000.0,Diesel,Individual,Manual,First Owner,14.0,3.1818181818181817,Renault
Ford Figo Diesel Titanium,2010.0,170000.0,60000.0,Diesel,Individual,Manual,Third Owner,16.0,2.8333333333333335,Ford
Ford Figo Diesel Titanium,2011.0,190000.0,90000.0,Diesel,Individual,Manual,Third Owner,15.0,2.111111111111111,Ford
Maruti Swift Dzire VDi,2009.0,250000.0,150000.0,Diesel,Individual,Manual,Third Owner,17.0,1.6666666666666667,Maruti
Mahindra Xylo E4,2009.0,229999.0,230000.0,Diesel,Individual,Manual,First Owner,17.0,0.9999956521739131,Mahindra
Maruti Esteem Vxi - BSIII,2006.0,140000.0,70000.0,Petrol,Individual,Manual,Third Owner,20.0,2.0,Maruti
Maruti Swift VDI BSIV,2017.0,600000.0,80362.0,Diesel,Individual,Manual,First Owner,9.0,7.466215375426197,Maruti
Hyundai i20 1.2 Sportz,2012.0,280000.0,110000.0,Petrol,Individual,Manual,Third Owner,14.0,2.5454545454545454,Hyundai
Chevrolet Beat Diesel LT,2012.0,150000.0,60000.0,Diesel,Individual,Manual,First Owner,14.0,2.5,Chevrolet
Chevrolet Cruze LTZ AT,2015.0,350000.0,50000.0,Diesel,Individual,Manual,First Owner,11.0,7.0,Chevrolet
Nissan Micra XL,2014.0,210000.0,40000.0,Petrol,Individual,Manual,Second Owner,12.0,5.25,Nissan
BMW 5 Series 520d Luxury Line,2017.0,2900000.0,40000.0,Diesel,Individual,Automatic,First Owner,9.0,72.5,BMW
Unknown,2013.0,425000.0,20000.0,Diesel,Dealer,Manual,First Owner,13.0,21.25,Unknown
Hyundai EON Era Plus Option,2014.0,265000.0,55000.0,Petrol,Dealer,Manual,First Owner,12.0,4.818181818181818,Hyundai
Fiat Linea T Jet Emotion,2018.0,890000.0,1136.0,Petrol,Dealer,Manual,First Owner,8.0,783.4507042253521,Fiat
Unknown,2013.0,365000.0,55000.0,Petrol,Dealer,Manual,First Owner,13.0,6.636363636363637,Unknown
Ford Figo Petrol Titanium,2014.0,350000.0,43000.0,Petrol,Dealer,Manual,First Owner,12.0,8.13953488372093,Ford
Maruti Ciaz ZDi SHVS,2016.0,685000.0,60000.0,Diesel,Individual,Manual,First Owner,10.0,11.416666666666666,Maruti
Skoda Rapid 1.5 TDI Ambition BSIV,2014.0,940000.0,2650.0,Diesel,Dealer,Manual,First Owner,12.0,354.7169811320755,Skoda
Mahindra XUV500 W6 2WD,2017.0,1000000.0,40000.0,Diesel,Individual,Manual,First Owner,9.0,25.0,Mahindra
Mahindra XUV300 W8 Option,2019.0,1150000.0,60000.0,Petrol,Individual,Manual,First Owner,7.0,19.166666666666668,Mahindra
Maruti Ertiga SHVS ZDI,2016.0,350000.0,115962.0,Diesel,Individual,Manual,Second Owner,10.0,3.018230109863576,Maruti
Nissan Terrano XE D,2015.0,590000.0,65000.0,Diesel,Dealer,Manual,First Owner,11.0,9.076923076923077,Nissan
Maruti S-Cross Facelift,2017.0,800000.0,40000.0,Petrol,Individual,Manual,First Owner,9.0,20.0,Maruti
Hyundai i20 Magna 1.4 CRDi (Diesel),2012.0,385000.0,58000.0,Petrol,Dealer,Manual,First Owner,14.0,6.637931034482759,Hyundai
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013.0,2000000.0,15000.0,Petrol,Individual,Automatic,First Owner,13.0,133.33333333333334,Mercedes-Benz
